molecule_chembl_id,canonical_smiles,pIC50,bioactivity,Number of H donors,Number of H Acceptors,LogP,molecular mass,Ro5violations,Ro5Rule,PSA,numrotbonds,Verber Rule P or F,QED
CHEMBL297008,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1,7.221848749616356,active,0,3,3.856220000000003,311.406,0,Pass,39.07,3,pass,0.7366196729346157
CHEMBL289813,Cc1c(C=O)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,5.490797477668897,intermediate,0,4,3.807820000000002,357.40600000000006,0,Pass,56.14,4,pass,0.6673839172559926
CHEMBL43736,Cc1c(COc2cccc(Cl)c2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,7.096910013008056,active,0,4,6.227720000000005,469.96500000000015,1,Pass,48.300000000000004,6,pass,0.3361629699700847
CHEMBL140167,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3CC2)cc1,9.920818753952375,active,1,0,6.381700000000004,335.3970000000001,1,Pass,15.79,2,pass,0.5589544368585562
CHEMBL44194,CCc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,4.0,inactive,0,3,4.249300000000003,343.423,0,Pass,39.07,4,pass,0.7102895533720789
CHEMBL44290,CC(=O)c1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C,5.79317412396815,intermediate,0,4,4.197920000000003,371.43300000000005,0,Pass,56.14,4,pass,0.6460958675650447
CHEMBL288773,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1Cc1ccc(F)cc1,4.0,inactive,0,3,4.054420000000003,343.423,0,Pass,39.07,4,pass,0.716647486721255
CHEMBL44068,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)[nH]1,4.0,inactive,1,2,2.3936200000000003,235.308,0,Pass,49.93,2,pass,0.8685145003637132
CHEMBL44367,CS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1Cl,4.0,inactive,0,3,4.340300000000003,349.8140000000001,0,Pass,39.07,3,pass,0.7051883086412051
CHEMBL297409,CCCCn1c(C)ccc1-c1ccc(S(C)(=O)=O)cc1,4.0,inactive,0,3,3.6671200000000024,291.416,0,Pass,39.07,5,pass,0.8428795927146777
CHEMBL43737,Cc1ccc(-n2c(C)ccc2-c2ccc(S(C)(=O)=O)cc2)cc1,7.3979400086720375,active,0,3,4.164640000000003,325.43300000000005,0,Pass,39.07,3,pass,0.7249639774700215
CHEMBL43511,NS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,7.853871964321762,active,1,3,2.9308000000000014,316.357,0,Pass,65.09,3,pass,0.8071654890146646
CHEMBL42801,Cc1c(CN(C)C)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,4.0,inactive,0,4,4.056920000000003,386.492,0,Pass,42.31,5,pass,0.6641669485948248
CHEMBL1316,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,6.991399828238082,active,2,1,4.162600000000002,273.719,0,Pass,53.089999999999996,2,pass,0.7364039910992084
CHEMBL40245,Cc1c(Br)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,7.698970004336019,active,0,3,4.757820000000003,408.29200000000014,0,Pass,39.07,3,pass,0.6271766384968792
CHEMBL43210,CS(=O)(=O)c1ccc(-c2cccn2-c2ccc(F)cc2)cc1,4.991399828238082,inactive,0,3,3.6869000000000023,315.369,0,Pass,39.07,3,pass,0.739269159064753
CHEMBL298231,CS(=O)(=O)c1ccc(-c2ccc(CCC(=O)O)n2-c2ccc(F)cc2)cc1,4.0,inactive,1,4,3.704100000000002,387.432,0,Pass,76.37,6,pass,0.6996377672520009
CHEMBL44101,Cc1c(CO)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,5.411168274405792,intermediate,1,4,3.4876200000000024,359.422,0,Pass,59.3,4,pass,0.7757198001627975
CHEMBL44152,Cc1c(COc2ccc(Cl)cc2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,7.522878745280337,active,0,4,6.227720000000005,469.96500000000015,1,Pass,48.300000000000004,6,pass,0.3361629699700847
CHEMBL43664,COc1ccc(-c2ccc(CCC(=O)O)n2-c2ccc(C(C)=O)cc2)cc1,5.337242168318426,intermediate,1,4,4.372700000000003,363.41300000000007,0,Pass,68.53,7,pass,0.6329243425524114
CHEMBL43664,COc1ccc(-c2ccc(CCC(=O)O)n2-c2ccc(C(C)=O)cc2)cc1,5.619788758288394,intermediate,1,4,4.372700000000003,363.41300000000007,0,Pass,68.53,7,pass,0.6329243425524114
CHEMBL298208,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)c(F)c1,6.6020599913279625,active,0,3,4.134420000000003,347.386,0,Pass,39.07,3,pass,0.7143908832996636
CHEMBL43002,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,7.221848749616356,active,0,3,3.995320000000003,329.396,0,Pass,39.07,3,pass,0.7285209392920573
